;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050
Azerbaijan;10223,668483583147;10301,390825448474;10372,816464785952;10438,512994894065;10498,977044696063;10554,54002332089;10605,354286708025;10651,442331562886;10692,77650854042;10729,355808834482;10761,256060466847;10788,644474406796;10811,763058512022;10830,893989377193;10846,322238602188;10858,307583549999;10867,07200575144;10872,802093954873;10875,66149135255;10875,806612447046;10873,399641362037;10868,615276120667;10861,640593809121;10852,66974731739;10841,896386155768;10829,50665686839;10815,674716722238;10800,561410284741;10784,315610033684;10767,077032967663
Bahamas;396,9011142694376;400,44860715624367;403,90548331314585;407,28924450064386;410,6140373082632;413,88819099225685;417,114352716081;420,29111679207836;423,41511736693934;426,4828498829451;429,4918483716349;432,44115856883764;435,3312520244997;438,1636143096448;440,94023458437323;443,66316213661327;446,33421534995716;448,95485744782457;451,5262058798559;454,04912132370526;456,5243230443505;458,95249126323455;461,3343356716515;463,6706258480234;465,96219062209747;468,2098985778685;470,414631964524;472,5772632266235;474,69863915361634;476,77957379468813
Bahrain;1747,505971014667;1781,1281592262608;1808,5581920301036;1837,4801921538615;1874,4768148247824;1922,929257459848;1982,14639299951;2047,9154337347;2114,179114969937;2175,193404350265;2227,4110372266314;2270,486762883866;2307,139592469377;2342,0079258540045;2379,9572987350502;2424,446090665938;2476,487554119354;2534,5059757407457;2595,064260839319;2654,1525261613647;2708,5653861164096;2756,9033901904677;2799,8955551031713;2839,9893681606895;2880,4022200871964;2923,991852915142;2972,3353415019633;3025,3061402645585;3081,250437183018;3137,656978690433
Bangladesh;166308,3222630765;167908,09993575476;169497,97867738735;171085,63778173618;172677,60808879626;174275,44928246798;175878,58021527182;177483,14854038402;179086,09331641725;180684,35138341525;182277,74174161005;183866,84095284884;185454,25579718087;187041,8143035255;188631,56123928283;190223,6316377274;191817,93428955352;193412,9716142386;195007,8703753707;196601,4036959707;198193,60458636464;199784,4379561562;201374,84332109906;202965,2383154394;204556,4090321808;206148,27356009567;207740,93794624737;209333,8094114184;210926,72313915638;212519,1698219618
Barbados;287,69160184651156;287,9864743333368;288,2607392879232;288,52033946744126;288,7714409719118;289,019911882855;289,270906274898;289,5285698604909;289,7958713819448;290,07455330187645;290,36518694735315;290,6673113563578;290,9796317326131;291,30025249727856;291,6269211251208;291,9572618415168;292,2889823419285;292,6200414672105;292,9487707421635;293,2739474370764;293,5948210026342;293,91109811521267;294,2228940114015;294,5306592433856;294,83509149130214;295,1370417340079;295,4374230640049;295,7371289226246;296,03696572458466;296,33760292591376
Belarus;9443,229690119564;9434,203906626528;9422,462870470978;9408,306417609714;9392,042470587003;9373,931822416565;9354,159899019001;9332,835223009915;9310,007315641411;9285,69373512889;9259,906517229878;9232,671261722875;9204,036009739115;9174,07058201018;9142,859373752062;9110,491460867954;9077,051462610945;9042,613404021837;9007,238374997803;8970,975545273735;8933,865332645704;8895,943299012575;8857,243567782589;8817,801030851439;8777,65214400084;8736,834539600188;8695,385930353916;8653,3428264621;8610,739485000959;8567,607326108722
Belgium;11632,905348872944;11670,416245465209;11704,18934797979;11736,365349779373;11768,584543031404;11801,677865257101;11835,681382111548;11870,09082163663;11904,214624971213;11937,487323179641;11969,652957597333;12000,793560215707;12031,23451845545;12061,390517336087;12091,618631830357;12122,125522767145;12152,945766539367;12183,980562496505;12215,068959129914;12246,060174336184;12276,863243405216;12307,463716321454;12337,910525533742;12368,28508805465;12398,667405468404;12429,11110011561;12459,633319010605;12490,219032932231;12520,834655880994;12551,44415399901
Belize;404,9153207985181;412,2408713819471;419,5819952272733;426,91346496045776;434,2148543701021;441,47991899544536;448,7178052421284;455,9470028568279;463,1859868874388;470,4452902868086;477,7243193091573;485,0135672915848;492,3003754978252;499,57511739909654;506,83500505794103;514,0842277548461;521,3309682091796;528,5831342022033;535,8449095830096;543,1155192018371;550,3903918634708;557,6638124879652;564,9316441262846;572,1929027252985;579,4496757797754;586,7056932905678;593,9644057622692;601,2275018292673;608,4944500089739;615,7630992733593
Benin;12451,056565121713;12784,797849819415;13124,613623004268;13470,744062031072;13823,368248495894;14182,554541170333;14548,227546100696;14920,211553037258;15298,279625549862;15682,23666130426;16071,961864685854;16467,441533369303;16868,7436300321;17275,985548880668;17689,272008125692;18108,659943946972;18534,1281804336;18965,590954400785;19402,918115902816;19845,980904581178;20294,68015626283;20748,97307911492;21208,867333469072;21674,409213042825;22145,65039866552;22622,6258387379;23105,330899444707;23593,72264125678;24087,72595927113;24587,257353424964
Bermuda;62,05559502106;61,85366928066263;61,66536141688176;61,48903389457773;61,32324609046499;61,16673061467166;61,01837247960626;60,87719077374609;60,742322539132864;60,61300858758247;60,48858102248025;60,36845226106713;60,252105376784186;60,139085602939886;60,02899285805235;59,9214751700112;59,81622289097696;59,71296360793261;59,6114576652359;59,511494225579966;59,41288780461923;59,31547522230286;59,21911292080709;59,12367460498338;59,029049166540084;58,935138857839156;58,84185768529176;58,7491299959464;58,656889234038324;58,565076847062514
